ID Pembekal	Nama Pembekal
UP00501	DG ONE STOP BUDGET HOTEL IPOH
UP00502	DHEEN \& COMPANY
UP00503	D.H.R. SUPPLIES
UP00504	DIGITAL ASPECTS SDN BHD
UP00505	DIVERSIFIED GATEWAY SDN BHD
UP00506	DIGITCOM HOUSE OF TELECOMMUNICATION
UP00507	DIRECT ENERGY SDN. BHD.
UP00508	DIGITAL LOGISTICS \& DISTRIBUTION
UP00509	DIGITAL OFFICE AUTOMATION \&
UP00510	DISTINCT 2000 SDN BHD
UP00511	DIRECT ASSIST NETWORK SDN BHD
UP00512	DISPLAY ASIA SDN. BHD.
UP00513	DITEC (M) SDN BHD
UP00514	DIGIERA SDN BHD
UP00515	DIGITAL PAPER SDN BHD
UP00516	DIGITAL MEDIA BROADCASTING SERVICES SD
UP00517	DIGI TELECOMMUNICATIONS SDN BHD
UP00518	DINIES ENTERPRISE
UP00519	DIGITAL INFOTECH
UP00520	DINIES RESOURCES SDN BHD
UP00521	DIGITAL TWO WAY COMMUNICATIONS SDN BH
UP00522	DIGIPHONIC SISTEM SENDIRIAN BERHAD
UP00523	D J TRADING (M) SDN BHD
UP00524	DK MAYA MAJU ENTERPRISE
UP00525	D'MANSSI ASSOCIATES SDN BHD
UP00526	D'NAR ENTERPRISE
UP00527	DNA COMPUTER SERVICE CENTRE
UP00528	FACTIVA LIMITED
UP00529	D'PRO STATIONERIES SDN BHD
UP00530	DRAFTFCB SDN BHD
UP00531	DRAGONFLY DESIGNS & PRINTSHOPPE SDN BHD
UP00532	DS NET SUPPLIES SDN BHD
UP00533	DS OFFICE EQUIPMENT & SUPPLIES
UP00534	DS DINAMIK SUPPLIES
UP00535	D'SAYANG ENTERTAINMENT
UP00536	D-TEK FOKUS SDN BHD
UP00537	D-TECH OA SDN BHD
UP00538	DURANIUS ADVERTISING
UP00539	HALIM HARUN AUTO ENTERPRISE
UP00540	DUTATEK (M) SDN BHD
UP00541	DUTA MARINE SDN BHD
UP00542	DYNASTY IT SERVICES
UP00543	DYNAMIC MEDIA SUPPLIES
UP00544	DYNABYTES KOMPUTER (TRG) SDN BHD
UP00545	DYAC BERJAYA ENTERPRISE
UP00546	DYNAMIC PROJECT SOLUTION SDN BHD
UP00547	DZUNUN ENTERPRISE
UP00548	XTEND SERVICES SDN BHD
UP00549	EASYCALL MALAYSIA SDN. BHD
UP00550	EASY RING TRADING
UP00551	EARTHWIN CORPORATION SDN. BHD.
UP00552	EAST MALAYSIA ENGINEERING & 
UP00553	EASTCOST TECHNIQUE (M) SDN.BHD.
UP00554	DAMANSARA INDAH SDN BHD
UP00555	EASTLAND TRADING (M) SDN BHD
UP00556	E-BUILDER TECHNOLOGIES (SABAH) SDN BHD
UP00557	ECL-JAYA ASSOCIATES
UP00558	ECS COMPUTER STORE ASIA (PENANG)
UP00559	E&C ENTERPRISE CO.
UP00560	ECAZ STUDIOS SDN BHD
UP00561	ECOMMERCE & TRADING
UP00562	EDY TRADING
UP00563	EDUWIDE SDN BHD
UP00564	EDAMCOM ENTERPRISE
UP00565	EDARAN OTOMOBIL NASIONAL BHD.
UP00566	EDARAN OTOMOBIL NASIONAL BERHAD
UP00567	EDARAN TAN CHONG MOTOR SDN BHD
UP00568	EDELL CORPORATION SDN BHD
UP00569	THE EDGE COMMUNICATIONS SDN BHD
UP00570	EE PLUMBERS SDN. BHD.
UP00571	EE TOURS SDN BHD
UP00572	EE TIONG MOTORSPORTS SDN BHD
UP00573	E FILM COMMUNICATIONS
UP00574	EG VISION ONLINE SDN.BHD.
UP00575	EI INFORMATION MANAGERS SDN BHD
UP00576	EIGA GALLERY
UP00577	E-JAR SDN BHD
UP00578	EKO ELIT SDN BHD
UP00579	ELECTRONIC DATA INTERCHANGE (M)
UP00580	ELECTRONIC NEWS SDN BHD
UP00581	EL-SYS COMPUTERS SDN.BHD.
UP00582	ELEKTRIK HOE HUAT
UP00583	ELEKTRIK TENAGA DINAMIK SDN BHD
UP00584	ELITETRAX MARKETING SDN BHD
UP00585	ELLYMAN RESOURCES
UP00586	ELEMENTAL VENTURES SDN BHD
UP00587	ELITE GENERAL SDN BHD
